college,year,pct
CECS,2100,0.33981949410157836
CBM,2100,0.32887838609117215
CHS,2100,0.3313021198072494
CECS,2101,0.3296489486690694
CBM,2101,0.33405893029909417
CHS,2101,0.33629212103183637
CECS,2102,0.33669365123504263
CBM,2102,0.3346386304346
CHS,2102,0.32866771833035724
CECS,2103,0.33335203538768093
CBM,2103,0.3330068421840246
CHS,2103,0.3336411224282945
CECS,2104,0.3297054111025056
CBM,2104,0.3385140198765171
CHS,2104,0.33178056902097725
CECS,2105,0.23855133947488125
CBM,2105,0.24098379816993806
CHS,2105,0.2734140917417495
CAS,2105,0.24705077061343123
CECS,2106,0.24828249988484988
CBM,2106,0.26356103575012685
CHS,2106,0.24117501498440602
CAS,2106,0.2469814493806172
CECS,2107,0.25840081876915455
CBM,2107,0.24587646104026853
CHS,2107,0.26418613299492627
CAS,2107,0.2315365871956505
CECS,2108,0.25246334729673564
CBM,2108,0.24504387932077681
CHS,2108,0.24683227639929578
CAS,2108,0.2556604969831919
CECS,2109,0.26035379415287363
CBM,2109,0.2611988843530794
CHS,2109,0.238048911958293
CAS,2109,0.24039840953575392
CECS,2110,0.26451124586077507
CBM,2110,0.24457381845779383
CHS,2110,0.2539406588398893
CAS,2110,0.23697427684154185
CECS,2111,0.25483452990033134
CBM,2111,0.2527737153692983
CHS,2111,0.25781082550924467
CAS,2111,0.23458092922112567
CECS,2112,0.24009614053180528
CBM,2112,0.26081762601895814
CHS,2112,0.2685097060947581
CAS,2112,0.2305765273544784
CECS,2113,0.23242647381906872
CBM,2113,0.24334229094298468
CHS,2113,0.2608973536615262
CAS,2113,0.26333388157642035
CECS,2114,0.25550812528378536
CBM,2114,0.25887123410153523
CHS,2114,0.23536227693139683
CAS,2114,0.2502583636832825
CECS,2115,0.2413005959994817
CBM,2115,0.24688556851769397
CHS,2115,0.2396452847623365
CAS,2115,0.2721685507204878
CECS,2116,0.2461645227034861
CBM,2116,0.24906761502392763
CHS,2116,0.25170836594577883
CAS,2116,0.25305949632680746
CECS,2117,0.2411387973149314
CBM,2117,0.2592495566626589
CHS,2117,0.23540669914890916
CAS,2117,0.2642049468735005
CECS,2118,0.2825667632911094
CBM,2118,0.2460048991210841
CHS,2118,0.22752013657740958
CAS,2118,0.24390820101039684
CECS,2119,0.28643747470420833
CBM,2119,0.23231823312151165
CHS,2119,0.22378899517152195
CAS,2119,0.25745529700275804
CECS,2120,0.253008533334444
CBM,2120,0.24924795219953796
CHS,2120,0.24388473103481495
CAS,2120,0.25385878343120316
CECS,2121,0.26107143572165986
CBM,2121,0.24497124535590561
CHS,2121,0.2507797133050209
CAS,2121,0.24317760561741372
CECS,2122,0.25024746113060364
CBM,2122,0.2521557925357122
CHS,2122,0.2563891483276733
CAS,2122,0.24120759800601074
CECS,2123,0.271591887551321
CBM,2123,0.24468472077449419
CHS,2123,0.24187691268208505
CAS,2123,0.2418464789920996
CECS,2124,0.2697974556568231
CBM,2124,0.2464032384331345
CHS,2124,0.25782098079404797
CAS,2124,0.22597832511599442
CECS,2125,0.25069922668475425
CBM,2125,0.25012373261070736
CHS,2125,0.24998380924856647
CAS,2125,0.24919323145597178
