college,year,pct
CECS,2100,0.3436086073939886
CBM,2100,0.33109147473385325
CHS,2100,0.3252999178721582
CECS,2101,0.3316606244181368
CBM,2101,0.341807749934344
CHS,2101,0.32653162564751914
CECS,2102,0.33171525320485873
CBM,2102,0.3326220093874033
CHS,2102,0.33566273740773794
CECS,2103,0.32525937029969765
CBM,2103,0.3347725501874559
CHS,2103,0.33996807951284647
CECS,2104,0.34055247665521154
CBM,2104,0.3303511237961337
CHS,2104,0.3290963995486547
CECS,2105,0.24937802153700642
CBM,2105,0.23864751870997084
CHS,2105,0.26290099993192534
CAS,2105,0.24907345982109727
CECS,2106,0.26538923425482774
CBM,2106,0.2465721009598647
CHS,2106,0.2442828629175629
CAS,2106,0.2437558018677447
CECS,2107,0.23420838981218797
CBM,2107,0.25429824178105204
CHS,2107,0.24918718595280873
CAS,2107,0.2623061824539512
CECS,2108,0.2602408554035041
CBM,2108,0.2567748731366122
CHS,2108,0.25116613407480265
CAS,2108,0.23181813738508106
CECS,2109,0.2587267993783431
CBM,2109,0.25690906468493685
CHS,2109,0.24602453412783118
CAS,2109,0.23833960180888902
CECS,2110,0.2441623666592896
CBM,2110,0.24676867414862716
CHS,2110,0.2629296160233809
CAS,2110,0.24613934316870248
CECS,2111,0.2571802589583582
CBM,2111,0.2544315797425476
CHS,2111,0.2433815193387451
CAS,2111,0.24500664196034902
CECS,2112,0.24974976972169483
CBM,2112,0.2610269995149094
CHS,2112,0.24663753889343357
CAS,2112,0.2425856918699622
CECS,2113,0.23695713720826334
CBM,2113,0.25549201523511794
CHS,2113,0.257412563185895
CAS,2113,0.2501382843707237
CECS,2114,0.24230656860198704
CBM,2114,0.2565390054328016
CHS,2114,0.2424388460391565
CAS,2114,0.25871557992605476
CECS,2115,0.23598632421329652
CBM,2115,0.25553823921481333
CHS,2115,0.24572965381548537
CAS,2115,0.2627457827564046
CECS,2116,0.2631180348041925
CBM,2116,0.2477824402296048
CHS,2116,0.242829238444589
CAS,2116,0.2462702865216137
CECS,2117,0.2536650126079907
CBM,2117,0.24012917088500904
CHS,2117,0.24891826646674575
CAS,2117,0.2572875500402547
CECS,2118,0.24948709785246567
CBM,2118,0.25011376693246584
CHS,2118,0.2502225328367051
CAS,2118,0.25017660237836353
CECS,2119,0.2523762255097319
CBM,2119,0.24148099148079247
CHS,2119,0.2664543677281695
CAS,2119,0.23968841528130622
CECS,2120,0.2417281352242659
CBM,2120,0.23602692629365207
CHS,2120,0.257665367284948
CAS,2120,0.26457957119713404
CECS,2121,0.26349185220417237
CBM,2121,0.2341620955125744
CHS,2121,0.23128846126085134
CAS,2121,0.2710575910224019
CECS,2122,0.2526235090770162
CBM,2122,0.24322853268061626
CHS,2122,0.24273313034281466
CAS,2122,0.26141482789955295
CECS,2123,0.2564861078826146
CBM,2123,0.24784585898441105
CHS,2123,0.249774586967607
CAS,2123,0.24589344616536732
CECS,2124,0.2516853433781648
CBM,2124,0.24367416576688936
CHS,2124,0.26492624781371177
CAS,2124,0.23971424304123423
CECS,2125,0.2557580526485494
CBM,2125,0.23614110241548117
CHS,2125,0.25918323861953535
CAS,2125,0.24891760631643411
