year,college,pct
2100,CBM,0.598425
2101,CBM,0.6615047779779688
2102,CBM,0.3971112533138313
2103,CBM,0.41129442916793973
2104,CBM,0.4251509105144849
2105,CBM,0.43469596320899334
2106,CBM,0.42034424444598883
2107,CBM,0.4281175536139794
2108,CBM,0.434933723243606
2109,CBM,0.4274814637646496
2110,CBM,0.4368950555476089
2111,CBM,0.45135
2112,CBM,0.4224771553436631
2113,CBM,0.4020581168683984
2114,CBM,0.3827852384477107
2115,CBM,0.3396724986988029
2116,CBM,0.3363424403658756
2117,CBM,0.3318401649092207
2118,CBM,0.3014243451343038
2119,CBM,0.2848104801538449
2120,CBM,0.27084680623894014
2100,CAS,0.00
2101,CAS,0.00
2102,CAS,0.2802358533686809
2103,CAS,0.2880130359507078
2104,CAS,0.27770060364205795
2105,CAS,0.28438937148696986
2106,CAS,0.29663863599508883
2107,CAS,0.315002569733215
2108,CAS,0.31127304106042814
2109,CAS,0.2922028222913179
2110,CAS,0.2437896342917084
2111,CAS,0.21832500000000002
2112,CAS,0.22921632896305125
2113,CAS,0.24717802257581936
2114,CAS,0.26219731415882414
2115,CAS,0.2780758297633823
2116,CAS,0.27592116538131967
2117,CAS,0.2591968603821454
2118,CAS,0.2455672890421426
2119,CAS,0.2567813349718876
2120,CAS,0.26342766648733135
2100,CECS,0.221725
2101,CECS,0.17234930553971767
2102,CECS,0.10652253405247279
2103,CECS,0.08295142071494042
2104,CECS,0.08115070845856592
2105,CECS,0.056642820643842615
2106,CECS,0.06393773021057751
2107,CECS,0.06237443349063216
2108,CECS,0.06615690692490231
2109,CECS,0.07251853623535039
2110,CECS,0.08198636341963478
2111,CECS,0.104075
2112,CECS,0.1393275725069527
2113,CECS,0.17333061335509314
2114,CECS,0.1894681188537591
2115,CECS,0.22464667494094565
2116,CECS,0.24796237619816267
2117,CECS,0.2645683025449933
2118,CECS,0.3005231088732587
2119,CECS,0.30419636415019335
2120,CECS,0.31581018277725953
2100,CHS,0.1776
2101,CHS,0.1620179259698497
2102,CHS,0.2161303592650151
2103,CHS,0.21774111416641206
2104,CHS,0.2159977773848913
2105,CHS,0.22427184466019418
2106,CHS,0.2190793893483448
2107,CHS,0.19450544316217355
2108,CHS,0.18763632877106354
2109,CHS,0.20779717770868214
2110,CHS,0.237328946741048
2111,CHS,0.22625
2112,CHS,0.20897894318633295
2113,CHS,0.17743324720068906
2114,CHS,0.16554932853970603
2115,CHS,0.15760499659686913
2116,CHS,0.1397740180546422
2117,CHS,0.14439467216364069
2118,CHS,0.15248525695029486
2119,CHS,0.15421182072407413
2120,CHS,0.14991534449646898
